2017-11-11T19:00:04.000Z,20,375652,23771,207,1777,1
2017-11-09T14:12:29.000Z,10,35401,1309,27,39,1
2017-11-11T18:00:08.000Z,24,190106,6646,510,756,1
2017-11-12T01:48:51.000Z,1,183670,10020,355,590,1
2017-11-11T19:51:24.000Z,17,265303,1475,110,273,1
2017-11-13T20:18:41.000Z,20,219605,24237,187,2941,1
2017-11-10T18:25:59.000Z,28,2742984,70743,7557,8752,1
2017-11-12T12:50:25.000Z,25,93198,607,46,206,1
2017-11-11T11:00:01.000Z,26,721270,25232,1401,1750,1
2017-11-11T22:13:27.000Z,24,778516,32322,382,16710,1
2017-11-13T14:30:00.000Z,24,117022,466,135,24,1
2016-12-08T19:29:25.000Z,10,16921,187,0,5,1
2017-11-12T21:09:54.000Z,24,174130,4565,292,621,1
2014-09-03T21:24:07.000Z,22,107331,206,5,8,1
2017-11-11T19:03:43.000Z,24,1842393,99086,1339,11800,1
2017-11-12T22:33:48.000Z,1,32941,149,2,5,1
2017-11-13T12:49:39.000Z,28,27910,3360,23,695,1
2017-11-10T18:36:15.000Z,27,1388115,17378,6835,1517,1
2017-11-12T13:00:00.000Z,19,161971,6130,169,907,1
2017-11-10T19:12:55.000Z,22,12603,90,1022,8,1
2017-11-12T03:00:00.000Z,1,125273,3897,36,481,1
2017-11-12T18:13:39.000Z,24,403223,2344,251,535,1
2017-11-12T23:00:03.000Z,24,248993,10984,136,2063,1
2017-11-12T01:44:07.000Z,24,122282,0,0,0,1
2017-11-11T19:00:12.000Z,23,943626,52806,4908,6065,1
2017-11-12T03:19:06.000Z,25,64386,1639,86,472,1
2017-11-12T13:00:01.000Z,26,549498,11618,912,1571,1
2017-11-12T13:07:17.000Z,25,58675,390,28,53,1
2017-11-11T07:19:47.000Z,22,13293,111,3,28,1
2017-11-11T22:04:37.000Z,17,624328,7100,398,971,1
2017-11-11T20:00:48.000Z,26,694624,20783,749,2147,1
2017-11-12T15:30:00.000Z,24,294947,16263,294,1678,1
2017-11-12T20:09:03.000Z,25,40454,2,5,2,1
2017-11-10T12:40:57.000Z,23,291697,2623,185,347,1
2017-11-12T20:16:45.000Z,22,635236,5945,722,1483,1
2017-11-12T14:00:00.000Z,25,544770,7848,1171,3981,1
2017-11-10T02:17:13.000Z,23,1547309,17913,551,1678,1
2017-11-11T18:24:23.000Z,23,387351,9814,6721,2382,1
2017-11-11T22:28:45.000Z,22,235156,13078,209,1466,1
2017-11-12T12:26:06.000Z,25,85127,586,55,256,1
2017-11-11T05:44:50.000Z,24,226051,1376,112,144,1
2017-11-12T22:05:07.000Z,17,758492,11936,160,1472,1
2017-11-12T17:30:00.000Z,24,632747,4330,2183,2869,1
2017-11-12T18:01:45.000Z,25,29616,156,32,185,1
2017-11-13T06:28:15.000Z,23,10037,33,66,7,1
2017-11-12T13:24:06.000Z,19,212040,10217,125,1000,1
2017-11-12T14:47:52.000Z,24,157289,1895,187,422,1
2017-11-13T20:00:02.000Z,23,236040,29389,121,3336,1
2017-11-09T05:38:51.000Z,10,1237072,26947,534,701,1
2017-11-12T22:21:28.000Z,24,318474,1857,2450,1165,1
2017-11-13T17:00:00.000Z,23,2649977,193479,3496,17846,1
2017-11-14T00:45:15.000Z,28,1836419,28647,17819,7860,1
2017-11-14T04:55:24.000Z,23,1611093,58474,837,3294,1
2017-11-14T08:30:01.000Z,23,2765121,35531,1705,2388,1
2017-11-13T20:09:58.000Z,28,3701763,56562,2495,11608,1
2017-11-14T15:32:51.000Z,23,462490,14132,795,666,1
2017-11-14T12:06:56.000Z,26,977285,87617,391,5575,1
2017-11-14T20:46:23.000Z,20,445043,8976,131,466,1
2017-11-14T18:31:20.000Z,24,1529652,63996,896,4697,1
2017-11-14T22:35:58.000Z,24,971117,50402,1526,10834,1
2017-11-14T15:18:53.000Z,24,853635,43655,213,2252,1
2017-11-14T17:00:07.000Z,1,1032547,34751,1305,7375,1
2017-11-14T16:00:03.000Z,1,119437,184,33,267,1
2017-11-14T02:09:55.000Z,23,1503131,20618,607,2676,1
2017-11-10T17:00:03.000Z,10,20539417,840642,47715,124236,1
2017-11-13T21:36:24.000Z,24,555499,23818,270,1112,1
2017-11-13T15:48:57.000Z,23,443131,27026,491,746,1
2017-11-14T11:00:03.000Z,24,754502,15082,778,2285,1
2017-11-13T17:13:01.000Z,22,2188675,88100,7150,24225,1
2017-11-12T19:05:24.000Z,23,4326684,167696,6730,9265,1
2017-11-14T08:35:01.000Z,24,1025278,14065,593,1825,1
2017-11-14T16:43:11.000Z,23,295217,4854,1439,1267,1
2017-11-15T01:30:00.000Z,23,340175,32580,405,3215,1
2017-09-27T22:43:49.000Z,10,15537,58,163,46,1
2017-11-14T15:23:10.000Z,25,16337,23,8,12,1
2017-11-14T13:00:00.000Z,24,459497,14281,1860,3764,1
2017-11-13T16:30:00.000Z,26,4752153,48776,4615,2502,1
2017-11-12T18:01:41.000Z,24,2508912,144816,2262,18893,1
2017-11-15T07:37:18.000Z,29,2253298,4632,104,932,1
2017-11-14T18:01:03.000Z,23,983365,60984,578,3837,1
2017-11-13T04:49:26.000Z,22,237611,1807,209,247,1
2017-11-14T18:00:01.000Z,1,829132,25110,316,3428,1
2017-11-14T14:11:30.000Z,23,79246,801,17,93,1
2017-11-13T20:47:49.000Z,1,394709,25188,281,1345,1
2017-11-13T19:56:01.000Z,26,260276,7465,131,566,1
2017-11-13T01:26:37.000Z,22,15800,88,0,0,1
2017-11-13T12:43:11.000Z,10,1928003,56175,4305,2822,1
2017-11-14T18:00:01.000Z,23,990009,85649,1284,2266,1
2017-11-13T20:00:01.000Z,24,863116,20518,1030,4272,1
2017-11-14T18:30:00.000Z,23,680801,36910,938,1510,1
2017-11-14T04:28:30.000Z,17,2455165,47921,2236,8112,1
2017-11-14T11:00:00.000Z,24,172461,5077,57,587,1
2017-11-14T14:08:10.000Z,25,293235,1502,214,861,1
2017-11-14T03:12:45.000Z,24,271606,22787,179,2964,1
2017-11-12T23:52:13.000Z,23,3497179,199699,10543,27744,1
2017-11-14T05:22:11.000Z,17,187026,786,121,218,1
2017-11-12T22:00:01.000Z,24,1231992,36466,824,6156,1
2017-11-10T14:10:46.000Z,22,580516,4793,1272,1844,1
2017-11-14T16:00:01.000Z,22,74289,49,15,79,1
2017-11-13T16:23:39.000Z,24,111491,62,18,36,1
2017-11-14T12:13:35.000Z,24,391049,5939,106,385,1
